"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"GY:NOEJ","NORMA Group SE","NOEJ","04/08/2011","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A1H8BV3","","1,077,586,368","EUR","Analyze"
"GY:CE2","CropEnergies AG","CE2","09/29/2006","Global Equity","Comon stocks","Developed markets ex-US","Energy","DE000A0LAUP1","","1,064,450,000","EUR","Analyze"
"GY:NXU","Nexus Ag","NXU","07/24/2000","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE0005220909","4100553","1,054,440,001","EUR","Analyze"
"GY:GFG","Global Fashion Group Sa","GFG","07/02/2019","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","LU2010095458","BJVLZF4","1,019,573,461","EUR","Analyze"
"GY:EKT","Energiekontor AG","EKT","07/13/2020","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005313506","","994,059,729","EUR","Analyze"
"GY:KCO","Klöckner & Co SE","KCO","06/28/2006","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000KC01000","","994,008,750","EUR","Analyze"
"GY:AAD","Amadeus FiRe AG","AAD","03/04/1999","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005093108","","992,655,216","EUR","Analyze"
"GY:TTK","TAKKT AG","TTK","09/20/1999","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007446007","","961,847,452","EUR","Analyze"
"GY:SGL","SGL Carbon SE","SGL","04/19/1995","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007235301","","959,827,169","EUR","Analyze"
"GY:CWC","CEWE Stiftung & Co. KGaA","CWC","02/21/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005403901","","937,613,674","EUR","Analyze"
"GY:TC1","Tele Columbus AG","TC1","01/22/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000TCAG172","BVCXBC2","915,413,231","EUR","Analyze"
"GY:TPE","PVA TePla AG","TPE","07/13/2020","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0007461006","","886,312,011","EUR","Analyze"
"GY:DEQ","Deutsche EuroShop AG","DEQ","01/02/2001","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","DE0007480204","","881,651,886","EUR","Analyze"
"GY:MLP","MLP SE","MLP","02/02/1994","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE0006569908","","871,233,281","EUR","Analyze"
"GY:TIMA","Zeal Network N","TIMA","06/18/2012","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000ZEAL241","BKDPJX7","864,189,070","EUR","Analyze"
"GY:INH","INDUS Holding AG","INH","09/14/1995","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006200108","","845,865,330","EUR","Analyze"
"GY:HDD","Heidelberger Druckmaschinen Aktiengesellschaft","HDD","07/13/2020","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007314007","","838,445,903","EUR","Analyze"
"GY:STO3","Sto SE & Co. KGaA","STO3","02/09/1994","Global Equity","Comon stocks","Developed markets ex-US","Materials","DE0007274136","","814,536,000","EUR","Analyze"
"GY:ILM1","Medios Ag","ILM1","11/22/2016","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A1MMCC8","B8JVC03","801,379,065","EUR","Analyze"
"GY:EIN3","Einhell Germany AG","EIN3","07/13/2020","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0005654933","","796,398,400","EUR","Analyze"
"GY:DEZ","DEUTZ Aktiengesellschaft","DEZ","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0006305006","","774,724,029","EUR","Analyze"
"GY:ELG","Elmos Semiconductor SE","ELG","10/11/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005677108","","767,295,000","EUR","Analyze"
"GY:VOS","Vossloh AG","VOS","02/01/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007667107","","764,041,830","EUR","Analyze"
"GY:AR4","AURELIUS Equity Opportunities SE & Co. KGaA","AR4","06/29/2006","Global Equity","Comon stocks","Developed markets ex-US","Financials","DE000A0JK2A8","","756,156,577","EUR","Analyze"
"GY:MBB","MBB SE","MBB","05/09/2006","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE000A0ETBQ4","","754,582,581","EUR","Analyze"
"GY:DBAN","Deutsche Beteiligungs AG","DBAN","12/04/1997","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000A1TNUT7","BBNBQJ7","737,155,686","EUR","Analyze"
"GY:HAB","Hamborner REIT AG","HAB","10/09/1998","Global Equity","REITs","Developed markets ex-US","Real Estate","DE0006013006","5735642","726,263,872","EUR","Analyze"
"GY:HABA","Hamborner REIT AG","HABA","06/02/2021","Global Equity","Common stocks","Developed markets ex-US","Unknown","DE000A3H2333","BMH5DF7","716,610,240","EUR","Analyze"
"GY:D6H","Datagroup","D6H","09/14/2006","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0JC8S7","B1D7R92","708,135,000","EUR","Analyze"
"GY:JST","JOST Werke AG","JST","07/20/2017","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000JST4000","BDC3R17","701,790,000","EUR","Analyze"
"GY:ZIL2","ElringKlinger AG","ZIL2","02/04/1994","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE0007856023","","695,059,090","EUR","Analyze"
"GY:WSU","WashTec AG","WSU","11/12/1997","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007507501","","694,542,615","EUR","Analyze"
"GY:ADV","ADVA Optical Networking SE","ADV","03/30/1999","Global Equity","Comon stocks","Developed markets ex-US","Information Technology","DE0005103006","","666,622,326","EUR","Analyze"
"GY:SNH","Steinhoff International Holdings N.V","SNH","12/06/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","NL0011375019","BYZ1WZ4","659,190,991","EUR","Analyze"
"GY:M8G","Media And Games Invest Plc","M8G","07/22/2011","Global Equity","Common stocks","Developed markets ex-US","Communication Services","MT0000580101","B65KBK3","644,521,993","EUR","Analyze"
"GY:OHB","OHB SE","OHB","03/13/2001","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005936124","","616,630,527","EUR","Analyze"
"GY:BDT","Bertrandt Aktiengesellschaft","BDT","10/07/1996","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0005232805","","608,594,400","EUR","Analyze"
"GY:PNE3","Pne Ag","PNE3","12/16/1998","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A0JBPG2","B0QCZ26","592,371,480","EUR","Analyze"
"GY:SFQ","SAF-Holland S.A","SFQ","07/25/2007","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","LU0307018795","B2352K9","549,271,054","EUR","Analyze"
"GY:WEW","Westwing Group Ag","WEW","10/09/2018","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A2N4H07","BD9PFL2","498,350,597","EUR","Analyze"
"GY:SKB","Koenig & Bauer AG","SKB","02/02/1994","Global Equity","Comon stocks","Developed markets ex-US","Industrials","DE0007193500","","496,569,729","EUR","Analyze"
"GY:BVB","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","BVB","10/31/2000","Global Equity","Comon stocks","Developed markets ex-US","Communication Services","DE0005493092","","486,101,717","EUR","Analyze"
"GY:LPK","Lpkf Laser & Electronics Ag","LPK","11/30/1998","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE0006450000","5569711","449,266,653","EUR","Analyze"
"GY:MRX","Mister Spex SE","MRX","09/27/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","","","424,996,878","EUR","Analyze"
"GY:AEIN","Allgeier","AEIN","07/21/2000","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A2GS633","BD814R0","417,000,819","EUR","Analyze"
"GY:CCAP","CORESTATE Capital Holding S.A","CCAP","10/04/2016","Global Equity","Common stocks","Developed markets ex-US","Real Estate","LU1296758029","BZ168H4","396,648,172","EUR","Analyze"
"GY:AM3D","SLM Solutions Group AG","AM3D","05/08/2014","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A111338","BMHTHK2","363,864,254","EUR","Analyze"
"GY:H24","Home24","H24","06/15/2018","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A14KEB5","BZ15FQ9","360,477,849","EUR","Analyze"
"GY:WSO1","wallstreet:online AG","WSO1","07/13/2020","Global Equity","Common stocks","Developed markets ex-US","Unknown","DE000A2GS609","BZ6CMC0","351,859,171","EUR","Analyze"
"GY:LNSX","Sixt Leasing SE","LNSX","05/06/2015","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A0DPRE6","BX3JSJ9","329,785,488","EUR","Analyze"
"GY:N4G","NAGA Group AG","N4G","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A161NR7","","312,982,644","EUR","Analyze"
"GY:ED4","EDAG Engineering Group AG","ED4","12/01/2015","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","CH0303692047","BYM8DF5","290,000,000","EUR","Analyze"
"GY:M0Y","Mynaric AG","M0Y","01/01/1900","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0JCY11","","256,118,009","EUR","Analyze"
"GY:CC1","Consus Real Estate AG","CC1","06/22/2017","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2DA414","BDD94V3","231,369,072","EUR","Analyze"
"GY:AAG","Aumann AG","AAG","03/23/2017","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A2DAM03","BYW82K3","217,770,000","EUR","Analyze"
"GY:EXL","Exasol N Ag","EXL","05/25/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A0LR9G9","BMFYGF7","149,012,975","EUR","Analyze"
"GY:FRU","Ferratum Oyj","FRU","01/21/2015","Global Equity","Common stocks","Developed markets ex-US","Financials","FI4000106299","BV0L292","85,771,596","EUR","Analyze"
"GY:VAO","Vapiano SE","VAO","06/27/2017","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A0WMNK9","BZ00S99","6,880,698","EUR","Analyze"
"GY:SEN","Senvion S.A","SEN","03/22/2016","Global Equity","Common stocks","Developed markets ex-US","Industrials","LU1377527517","BYXTW83","1,145,689","EUR","Analyze"
"GY:1660581D","Stada Arzneimittel Ag","1660581D","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A2NBUK2","BG8CLF1","0","EUR","Analyze"
"GY:ADJA","Ado Properties Rights Sa","ADJA","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","LU2199485652","BMQ8Q69","0","EUR","Analyze"
"GY:ADLU","Adler Real Estate Ag","ADLU","03/30/2020","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A254V20","BLJL602","0","EUR","Analyze"
"GY:ANNGR","Vonovia Se","ANNGR","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2TSGY3","BK1W446","0","EUR","Analyze"
"GY:BAYR","Bayer Rights Ag","BAYR","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000BAY1BR7","BZ1NVG5","0","EUR","Analyze"
"GY:BIKE","Bike24 Holding AG","BIKE","09/27/2021","Global Equity","Comon stocks","Developed markets ex-US","Consumer Discretionary","DE000A3CQ7F4","","0","EUR","Analyze"
"GY:BVBA","Borussia Dortmund Rights","BVBA","09/22/2021","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A3E5DT0","BK9RLH5","0","EUR","Analyze"
"GY:CC1R","Consus Real Estate Rights Ag","CC1R","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A2LQUH0","BFMJV39","0","EUR","Analyze"
"GY:DBAB","Deutsche Beteiligungs Rights Ag","DBAB","04/16/2021","Global Equity","Common stocks","Developed markets ex-US","Financials","DE000A3E4951","BLFG6Q7","0","EUR","Analyze"
"GY:G24B","Scout24 Rights Ag","G24B","04/01/2021","Global Equity","Common stocks","Developed markets ex-US","Communication Services","DE000A3H3LR9","BNG4824","0","EUR","Analyze"
"GY:GMMV","Grammer V Ag","GMMV","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","DE000A2LQTW1","BD31GK2","0","EUR","Analyze"
"GY:IGYB","Innogy Z Verk","IGYB","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Utilities","DE000A2LQ2L3","BG0SC98","0","EUR","Analyze"
"GY:INS","Instone Real Estate Group Nv","INS","02/15/2018","Global Equity","Common stocks","Developed markets ex-US","Real Estate","NL0012757355","BG00JQ0","0","EUR","Analyze"
"GY:ISR1","Isra Vision V Ag","ISR1","03/16/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A254W60","BL83676","0","EUR","Analyze"
"GY:KGXA","Kion Group Rights Ag","KGXA","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A3H22F2","BMC7422","0","EUR","Analyze"
"GY:LHAR","Deutsche Lufthansa Rights Ag","LHAR","09/23/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A3E5B58","BNKJBP9","0","EUR","Analyze"
"GY:LINU","LINDE AG","LINU","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Materials","DE000A2E4L75","BF8K6K8","0","EUR","Analyze"
"GY:LNSZ","Sixt Leasing V","LNSZ","05/05/2020","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A2888L0","BL5JZJ2","0","EUR","Analyze"
"GY:NDXB","Nordex Rights","NDXB","07/02/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000A3E5CX4","BMF7YG3","0","EUR","Analyze"
"GY:QIAB","Qiagen Nv Tipto","QIAB","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Health Care","NL0014676538","BLD5WW4","0","EUR","Analyze"
"GY:RHKV","Rhoen Klinikum V Ag","RHKV","04/16/2020","Global Equity","Common stocks","Developed markets ex-US","Health Care","DE000A288748","BLGYL43","0","EUR","Analyze"
"GY:RIB1","Rib Software V","RIB1","04/06/2020","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000A254260","BMGJQ51","0","EUR","Analyze"
"GY:TLGU","Tlg Immobilien U Ag","TLGU","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Real Estate","DE000A254104","BKWC3X7","0","EUR","Analyze"
"GY:VNAR","VONOVIA RIGHTS","VNAR","11/29/2021","Global Equity","Comon stocks","Developed markets ex-US","Real Estate","","","0","EUR","Analyze"
"GY:VT9A","Vtg V Ag","VT9A","12/24/2021","Global Equity","Common stocks","Developed markets ex-US","Industrials","DE000VTG01V2","BDF0MM1","0","EUR","Analyze"
"GY:WAF1","Siltronic V Ag","WAF1","02/12/2021","Global Equity","Common stocks","Developed markets ex-US","Information Technology","DE000WAF3019","BN49111","0","EUR","Analyze"
